1. Wat was je score op de GapMinder test? Je hoeft je niet te schamen als het slecht was :-). De meeste mensen score vrij slecht.  Noteer de score hieronder als een breuk.,2. Met welke hand schrijf je?,3. Wat is je schoenmaat?,4. Wat is je lichaamslengte (in cm)?,5. Wat is je bloedgroep: AB0?,6. Wat is de resusfactor van je bloedgroep?,7. Hoeveel broers / zussen heb je?,8. Vink alle beweringen aan die volgens aannemelijk zijn.,9. Welke rijbewijzen heb je al volledig behaald?,10. Mijn domicilieadres ligt,11. Welke afstudeerrichting denk je te kiezen?,12. Wat is je favoriete vrijetijdsbesteding?,13. Hoeveel uren wiskunde had je in het laatste jaar middelbaar?,14. Hoe belangrijk is het voor je om informaticus te worden?,15. Hoeveel uur werk je gemiddelde per week voor school buiten de schooluren? Noteer als HH:mm (en wees eerlijk),16. Wat is de afstand van thuis / kot naar de KdG campus Groenplaats (in km)?,17. Hoe kom je naar school?,18. In 2012 bedroeg de opwarming van de aarde 0.85°C t.o.v. het jaar 1880. In 2020 bedroeg het reeds 0.98°C. Wanneer zal de aarde volgens jou meer dan 1.5°C opgewarmd zijn door de klimaatopwarming?,19.  Hoeveel zakgeld krijg je of verdien je zelf per maand?,20a. Hoeveel stukken / porties fruit eet je gemiddeld per dag?,21. Welk besturingssysteem gebruik je het liefst?,"22. Stel dat je maar één app op je smartphone mocht zetten, welke zou je dan kiezen",23a. In hoeverre vind je het belangrijk om het welzijn van anderen te beschermen en te verzorgen?,23b. In hoeverre geloof je dat het belangrijk is om middelen gelijk en eerlijk te verdelen?,"23c. In hoeverre vind je het belangrijk om loyaal te zijn aan je familie, vrienden of je land?",23d. In hoeverre vind je het belangrijk om gezag te respecteren en gevestigde regels en normen te volgen?,23e. In hoeverre geloof je dat het belangrijk is om zuiverheid te handhaven en gedrag of handelingen te vermijden die als vulgair of immoreel worden ervaren?,23f. In hoeverre vind je het belangrijk dat individuen vrijheid van keuze en expressie hebben zonder inmenging van anderen?,24. Wat is volgens jou het zwaarste vak uit het eerste jaar?,25. Welke vak uit het eerste jaar TI vind je het boeiendst?,"26. In het hoger onderwijs wordt 1 studiepunt gelijkgesteld aan 25 uren studiebelasting.  
Wat is jouw inschatting?	",27. Ik geef toestemming om deze gegevens geanonimiseerd te gebruiken binnen de lessen Data Science van de opleiding Toegepaste Informatica op KdG.
7/18,Links,44,179,Weet ik niet,Weet ik niet,2,Prinses Diana kwam niet per ongeluk om het leven;De tsunami van 2004 in de Indische Oceaan was het gevolg van een nucleair experiment,Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Muziek (bespelen/luisteren),6,Zeer Groot,01:30,3.1,Met de fiets,2065-01-01,100,0,Windows,Muziek App,4,5,4,4,5,4,Management 1,Programmeren 1 - Java,27,Ja
5/18,Rechts,44.5,184,Weet ik niet,Weet ik niet,2,Geen enkele bewering is aannemelijk,Geen,in een stad,Applicatieontwikkeling,Sport (beoefenen/supporteren),4,Groot,02:30,12,Met de trein;Met de tram;Met de bus,2045-02-13,250,1,iOS,Sociaal Netwerk App,3,3,4,3,3,3,Data science 1,Programmeren 1 - Java,20,Ja
5/18,Rechts,43,180,Weet ik niet,Weet ik niet,2,Geen enkele bewering is aannemelijk,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Sport (beoefenen/supporteren),8,Groot,14:00,15,Met de fiets;Met de trein,2040-01-01,300,0,iOS,Sociaal Netwerk App,4,4,5,4,4,5,Computersystemen 1,User interfaces 1,20,Ja
5/18,Rechts,42,173,Weet ik niet,Weet ik niet,6,John F. Kennedy werd vermoord in opdracht van de CIA,Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Muziek (bespelen/luisteren),4,Extreem,08:00,15,Met de fiets;Met de tram;Met de bus,2030-08-27,0,0,Windows,Bank App,5,3,4,3,4,5,Netwerken 1,Programmeren 1 - Embedded,10,Ja
5/18,Rechts,43,185,O,Weet ik niet,1,Prinses Diana kwam niet per ongeluk om het leven;John F. Kennedy werd vermoord in opdracht van de CIA;De wereld wordt eigenlijk gecontroleerd door een geheime elite,Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Artificial Intelligence,Gamen,5,Zeer Groot,18:00,9,Met de fiets;Met de tram,2026-02-13,40,2,Windows,Bank App,4,2,4,4,3,5,User interfaces 1,Data science 1,40,Ja
10/18,Rechts,43,178,O,Positief,1,Geen enkele bewering is aannemelijk,Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Sport (beoefenen/supporteren),5,Matig,04:00,48,Met de trein,2050-01-01,330,1,Windows,GPS App,4,3,4,3,3,3,Data science 1,Netwerken 1,20,Ja
8/18,Rechts,41,170,Weet ik niet,Weet ik niet,2,Geen enkele bewering is aannemelijk,Categorie B: Wagens.,in een stad,Software Management,Sport (beoefenen/supporteren),3,Extreem,02:00,1.4,Te voet;Met de fiets;Met de tram,2035-01-01,1250,0,iOS,Sociaal Netwerk App,4,5,4,5,4,5,Computersystemen 1,Programmeren 1 - Java,25,Ja
5/18,Rechts,43,185,O,Positief,0,Geen enkele bewering is aannemelijk,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Artificial Intelligence,Gamen,5,Groot,07:00,10,Met de tram;Met de bus,2025-02-27,0,0,Windows,Muziek App,4,3,3,4,3,4,Software engineering 1,Programmeren 1 - Java,25,Ja
4/18,Rechts,41.5,172,B,Positief,0,Prinses Diana kwam niet per ongeluk om het leven;John F. Kennedy werd vermoord in opdracht van de CIA;De wereld wordt eigenlijk gecontroleerd door een geheime elite,Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Software Management,Internet/Social Media,6,Matig,11:00,1.5,Met de fiets,2035-06-24,60,2,Windows,GPS App,5,4,4,3,2,5,Programmeren 1 - Java,Management 1,30,Ja
5/18,Rechts,45,176,A,Positief,1,Geen enkele bewering is aannemelijk,Geen,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Film/TV-series,4,Groot,05:00,21.70,Met de trein,2050-01-01,180,2,Windows,Bank App,3,1,4,5,3,3,Software engineering 1,User interfaces 1,15,Ja
4/18,Rechts,45.5,189,Weet ik niet,Weet ik niet,2,De wereld wordt eigenlijk gecontroleerd door een geheime elite;De tsunami van 2004 in de Indische Oceaan was het gevolg van een nucleair experiment,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie B: Wagens.,in een stad,Artificial Intelligence,Film/TV-series,8,Matig,15:00,1,Met de fiets,2028-08-28,120,1,Windows,Game App,5,2,4,3,4,5,Netwerken 1,Programmeren 1 - Java,25,Ja
5/18,Rechts,43,183,A,Negatief,1,Geen enkele bewering is aannemelijk,Categorie B: Wagens.,in een stad,Applicatieontwikkeling,Gamen,4,Matig,04:00,28,Met de trein,2045-01-01,500,0,Windows,Bank App,3,2,5,4,5,5,Data science 1,Programmeren 1 - Java,10,Ja
